,userId,compId,followCompId
3816,0,13,333
3817,0,13,333
3818,0,13,333
3819,0,13,333
3820,0,13,333
3821,0,13,333
3822,0,13,333
3823,0,13,333
3824,0,13,333
12356,0,90,758
12357,0,90,758
12358,0,90,758
12359,0,90,758
12360,0,90,758
12361,0,90,758
12362,0,90,758
12363,0,90,758
2982,0,168,1539
2983,0,168,1539
2984,0,168,1539
2985,0,168,1539
2986,0,168,1539
2987,0,168,1539
2988,0,168,1539
2989,0,168,1539
13482,0,303,1416
13483,0,303,1416
13484,0,303,1416
13485,0,303,1416
13486,0,303,1416
13487,0,303,1416
6691,0,349,84
6692,0,349,84
6693,0,349,84
6694,0,349,84
6695,0,349,84
6696,0,349,84
6697,0,349,84
6698,0,349,84
6699,0,349,84
6700,0,349,84
14277,0,366,1330
14278,0,366,1330
14279,0,366,1330
14280,0,366,1330
14281,0,366,1330
14282,0,366,1330
14283,0,366,1330
14284,0,366,1330
3014,0,378,1362
3015,0,378,1362
3016,0,378,1362
3017,0,378,1362
3018,0,378,1362
3019,0,378,1362
3020,0,378,1362
3021,0,378,1362
3022,0,378,1362
3023,0,378,1362
692,0,389,359
693,0,389,359
694,0,389,359
11099,0,389,1507
2670,0,398,1434
2671,0,398,1434
2672,0,398,1434
2673,0,398,1434
2674,0,398,1434
2675,0,398,1434
2676,0,398,1434
14528,0,509,878
14529,0,509,878
14530,0,509,878
14531,0,509,878
14532,0,509,878
14533,0,509,878
14534,0,509,878
14535,0,509,878
14536,0,509,878
4590,0,613,339
4591,0,613,339
13131,0,654,1544
13132,0,654,1544
13133,0,654,1544
13134,0,654,1544
13135,0,654,1544
13136,0,654,1544
13137,0,654,1544
8605,0,669,175
8606,0,669,175
8607,0,669,175
8608,0,669,175
8609,0,669,175
8610,0,669,175
8611,0,669,175
14929,0,669,419
14930,0,669,419
14931,0,669,419
14932,0,669,419
14933,0,669,419
14934,0,669,419
4424,0,937,886
4425,0,937,886
4426,0,937,886
5215,0,976,730
5216,0,976,730
4263,0,979,179
4264,0,979,179
4265,0,979,179
4266,0,979,179
4267,0,979,179
4268,0,979,179
4269,0,979,179
11104,0,1015,714
11105,0,1015,714
11106,0,1015,714
11107,0,1015,714
11108,0,1015,714
11109,0,1015,714
11110,0,1015,714
11111,0,1015,714
11112,0,1015,714
11113,0,1015,714
2098,0,1067,37
2099,0,1067,37
2100,0,1067,37
4985,0,1088,750
4986,0,1088,750
4987,0,1088,750
11833,0,1281,353
11834,0,1281,353
11835,0,1281,353
11836,0,1281,353
11837,0,1281,353
11838,0,1281,353
11839,0,1281,353
8290,0,1419,510
8291,0,1419,510
8292,0,1419,510
8293,0,1419,510
8294,0,1419,510
8295,0,1419,510
8296,0,1419,510
9929,1,28,420
9930,1,28,420
11425,1,68,758
11426,1,68,758
11427,1,68,758
11428,1,68,758
11429,1,68,758
11430,1,68,758
11431,1,68,758
11432,1,68,758
11433,1,68,758
11434,1,68,758
4215,1,101,785
4216,1,101,785
4217,1,101,785
4218,1,101,785
4219,1,101,785
4220,1,101,785
4221,1,101,785
3831,1,143,1408
3832,1,143,1408
3833,1,143,1408
4445,1,314,739
4446,1,314,739
4447,1,314,739
4448,1,314,739
4449,1,314,739
4450,1,314,739
4451,1,314,739
4452,1,314,739
4453,1,314,739
409,1,322,697
410,1,322,697
411,1,322,697
412,1,322,697
13535,1,366,129
13536,1,366,129
13537,1,366,129
13538,1,366,129
13539,1,366,129
13540,1,366,129
11079,1,370,663
11080,1,370,663
11081,1,370,663
11082,1,370,663
11083,1,370,663
